timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621218369134,1182,Petición HTTP,200,OK,Pruebas UAGRO 1-3,text,true,,5406,541,42,42,https://www.pruebavotaciones.uagro.mx/registro/,211,0,154
1621218369134,213,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,616,131,42,42,http://www.pruebavotaciones.uagro.mx/,211,0,154
1621218369349,853,Petición HTTP-1,302,Found,Pruebas UAGRO 1-3,text,true,,227,131,42,42,https://www.pruebavotaciones.uagro.mx/,853,0,802
1621218370202,60,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,634,139,42,42,https://www.pruebavotaciones.uagro.mx/registro,60,0,0
1621218370262,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-3,text,true,,3929,140,42,42,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218370318,219,Petición HTTP,200,OK,Pruebas UAGRO 1-3,text,true,,5404,541,49,49,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218370318,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,615,131,49,49,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218370368,57,Petición HTTP-1,302,Found,Pruebas UAGRO 1-3,text,true,,226,131,49,49,https://www.pruebavotaciones.uagro.mx/,57,0,0
1621218370426,54,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,634,139,49,49,https://www.pruebavotaciones.uagro.mx/registro,54,0,0
1621218370481,56,Petición HTTP-3,200,OK,Pruebas UAGRO 1-3,text,true,,3929,140,49,49,https://www.pruebavotaciones.uagro.mx/registro/,56,0,0
1621218370538,216,Petición HTTP,200,OK,Pruebas UAGRO 1-3,text,true,,5404,541,57,57,https://www.pruebavotaciones.uagro.mx/registro/,50,0,0
1621218370538,51,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,615,131,57,57,http://www.pruebavotaciones.uagro.mx/,50,0,0
1621218370589,56,Petición HTTP-1,302,Found,Pruebas UAGRO 1-3,text,true,,226,131,57,57,https://www.pruebavotaciones.uagro.mx/,56,0,0
1621218370645,53,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-3,text,true,,634,139,57,57,https://www.pruebavotaciones.uagro.mx/registro,53,0,0
1621218370698,56,Petición HTTP-3,200,OK,Pruebas UAGRO 1-3,text,true,,3929,140,57,57,https://www.pruebavotaciones.uagro.mx/registro/,56,0,0
1621218369134,1903,Petición HTTP,200,OK,Pruebas UAGRO 1-1,text,true,,5406,541,65,65,https://www.pruebavotaciones.uagro.mx/registro/,209,0,143
1621218369134,213,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-1,text,true,,616,131,65,65,http://www.pruebavotaciones.uagro.mx/,209,0,143
1621218369349,1585,Petición HTTP-1,302,Found,Pruebas UAGRO 1-1,text,true,,227,131,65,65,https://www.pruebavotaciones.uagro.mx/,1585,0,1535
1621218370934,46,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-1,text,true,,634,139,65,65,https://www.pruebavotaciones.uagro.mx/registro,46,0,0
1621218370981,56,Petición HTTP-3,200,OK,Pruebas UAGRO 1-1,text,true,,3929,140,65,65,https://www.pruebavotaciones.uagro.mx/registro/,56,0,0
1621218371038,218,Petición HTTP,200,OK,Pruebas UAGRO 1-1,text,true,,5404,541,72,72,https://www.pruebavotaciones.uagro.mx/registro/,51,0,0
1621218371038,51,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-1,text,true,,615,131,72,72,http://www.pruebavotaciones.uagro.mx/,51,0,0
1621218371089,52,Petición HTTP-1,302,Found,Pruebas UAGRO 1-1,text,true,,226,131,72,72,https://www.pruebavotaciones.uagro.mx/,52,0,0
1621218371142,54,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-1,text,true,,634,139,72,72,https://www.pruebavotaciones.uagro.mx/registro,54,0,0
1621218371196,60,Petición HTTP-3,200,OK,Pruebas UAGRO 1-1,text,true,,3929,140,72,72,https://www.pruebavotaciones.uagro.mx/registro/,60,0,0
1621218369192,2117,Petición HTTP,200,OK,Pruebas UAGRO 1-5,text,true,,5406,541,74,74,https://www.pruebavotaciones.uagro.mx/registro/,152,0,96
